attached_links_url,attached_medias_url,attached_videos,author_id,author_username,community_notes,conversation_id,created_time,favorite_count,geo_lat,geo_lon,id,in_reply_to_post_id,in_reply_to_profile_id,in_reply_to_profile_username,place_country_code,place_country_name,place_full_name,place_type,post_type,quote_count,quoted_status_id,quoted_status_profile_username,reply_count,retweet_count,source,text,text_lang,text_tagged_users,text_tags,timestamp,view_count,term,sentiment,tone
,,,1616340148223987712,samuraipreneur,,1717122209909813641,2023-10-25T10:57:27,1,,,1717133263976751503,1717122209909813641,1565028828329971713,heyshrutimishra,,,,,reply,0,,,1,0,,"@heyshrutimishra Really great tools for building a business!

Thanks 🙏🏼",en,heyshrutimishra,,1698231447,15,social media design,unknown,unknown
,,,1506055005992026115,hasantoxr,,1717122209909813641,2023-10-25T11:55:38,1,,,1717147906044543282,1717122209909813641,1565028828329971713,heyshrutimishra,,,,,reply,0,,,1,0,,@heyshrutimishra Canva is my go to tool,en,heyshrutimishra,,1698234938,98,social media design,unknown,unknown
,,,1323893103623852033,TheAIColony,,1717122209909813641,2023-10-25T14:10:22,0,,,1717181814760964401,1717122209909813641,1565028828329971713,heyshrutimishra,,,,,reply,0,,,0,0,,"@heyshrutimishra I just found few new tools I would be trying out in the next couple days

Thanks for sharing, Shruti",en,heyshrutimishra,,1698243022,12,social media design,unknown,unknown
