attached_links_url,attached_medias_url,attached_videos,author_id,author_username,community_notes,conversation_id,created_time,favorite_count,geo_lat,geo_lon,id,in_reply_to_post_id,in_reply_to_profile_id,in_reply_to_profile_username,place_country_code,place_country_name,place_full_name,place_type,post_type,quote_count,quoted_status_id,quoted_status_profile_username,reply_count,retweet_count,source,text,text_lang,text_tagged_users,text_tags,timestamp,view_count,term,sentiment,tone
,https://video.twimg.com/amplify_video/1716809141350490112/vid/avc1/720x1280/yM0Yg4IfqLv0Fns8.mp4?tag=14,https://video.twimg.com/amplify_video/1716809141350490112/vid/avc1/720x1280/yM0Yg4IfqLv0Fns8.mp4?tag=14,1663746477414400000,shethreels,,1716809388487524743,2023-10-24T13:30:29,0,,,1716809388487524743,,,,,,,,post,0,,,0,0,,Unleashing the Power of Social Media Marketing and Photography Agencies https://t.co/H5Kl3mjjIE,en,,,1698154229,7.0,social media marketing,unknown,unknown
https://bit.ly/45wa8ps,https://pbs.twimg.com/media/F9Npz1NasAA1q12.png,,21314950,toplineweb,,1716832247779934528,2023-10-24T15:01:19,0,,,1716832247779934528,,,,,,,,post,0,,,0,0,,5 Reasons Social Media Marketing is Crucial for Your Business https://t.co/EcfrA7PvcC #socialmedia #social https://t.co/uh139Tchbk,en,,social--|--socialmedia,1698159679,,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9Oimh4aAAAdzkU.jpg,,41591631,gottaluvness69,,1716894673841934552,2023-10-24T19:09:23,137,,,1716894673841934552,,,,,,,,post,2,,,1,14,,"Give NLCB's Social Media /Marketing Team a raise 💯💯💯

Shouts to McCann Port of Spain !!! https://t.co/YMsfYgbjJ3",en,,,1698174563,5757.0,social media marketing,unknown,unknown
https://www.startupeditor.com/business/7-marketing-mistakes-you-should-avoid-in-your-small-business/,https://pbs.twimg.com/media/F9Q_XXobcAAfzbJ.jpg,,1681247475615645698,startupeditorco,,1717067033840595015,2023-10-25T06:34:17,12,,,1717067033840595015,,,,,,,,post,0,,,3,7,,"7 Marketing Mistakes You Should Avoid in Your Small Business:

https://t.co/PwZKeE3rkE

#marketing #smallbusiness #sales #entrepreneur #marketingplan #socialmedia #marketinganalysis #targetaudience #marketingstrategies #onlinepresence https://t.co/UkWdhZVvY8",en,,entrepreneur--|--marketing--|--marketinganalysis--|--marketingplan--|--marketingstrategies--|--onlinepresence--|--sales--|--smallbusiness--|--socialmedia--|--targetaudience,1698215657,305.0,social media marketing,unknown,unknown
,,,1565028828329971713,heyshrutimishra,,1717122209909813641,2023-10-25T10:13:32,153,,,1717122209909813641,,,,,,,,post,0,,,50,35,,"Top 9 tools for building $5000/mo business:

1 Publer - Social Media
2 Canva - Design
3 Airtable - Data Management
4 Webflow - Websites
5 ConvertKit - Email Marketing
6 Writesonic- Writing 
7 Gamma - Presentations
8 Mailchimp - Marketing
9 Senja - Testimonials

Details below 🧵",en,,,1698228812,15623.0,social media marketing,unknown,unknown
,https://video.twimg.com/ext_tw_video/1717199631237738496/pu/vid/avc1/720x720/63lQsHexAV9jLOu8.mp4?tag=12,https://video.twimg.com/ext_tw_video/1717199631237738496/pu/vid/avc1/720x720/63lQsHexAV9jLOu8.mp4?tag=12,1636161770405474306,ri_maakter,,1717199641736016322,2023-10-25T15:21:13,10,,,1717199641736016322,,,,,,,,post,0,,,1,1,,"Social Media Marketing in 5 Easy Steps💡

#socialmediamarketing #DigitalMarketing #socialmediamanager #MarketingTips #Marketingstrategy #digitalmarketingagency https://t.co/gFzKpNHRtw",en,,digitalmarketing--|--digitalmarketingagency--|--marketingstrategy--|--marketingtips--|--socialmediamanager--|--socialmediamarketing,1698247273,137.0,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9VO1C2WAAAVr5U.jpg,,65544386,BaileyCarlin,,1717365509228777856,2023-10-26T02:20:19,599,,,1717365509228777856,,,,,,,,post,4,,,17,28,,"I absolutely refuse to believe that an actual social media manager made this call. 

This screams if some senior marketing person who has no concept of social demanding this, and a junior social person being too scared to push back.

Terrible https://t.co/mVLP1qnbf4",en,,,1698286819,133988.0,social media marketing,unknown,unknown
,https://video.twimg.com/ext_tw_video/1717455443759673344/pu/vid/avc1/640x640/AIZKlVQYjt4RYFQ3.mp4?tag=12,https://video.twimg.com/ext_tw_video/1717455443759673344/pu/vid/avc1/640x640/AIZKlVQYjt4RYFQ3.mp4?tag=12,1636161770405474306,ri_maakter,,1717455459609944358,2023-10-26T08:17:45,12,,,1717455459609944358,,,,,,,,post,0,,,2,0,,"Advantage of Social Media Marketing 🎯

#socialmediamarketing #DigitalMarketing #socialmediamanager #SocialMediaStrategies #MarketingTips #MarketingStrategy https://t.co/CX4MEIQy2s",en,,digitalmarketing--|--marketingstrategy--|--marketingtips--|--socialmediamanager--|--socialmediamarketing--|--socialmediastrategies,1698308265,249.0,social media marketing,unknown,unknown
,,,1561750401917112323,JohnboscoElem,,1717519117874233755,2023-10-26T12:30:42,41,,,1717519117874233755,,,,,,,,post,0,,,17,3,,"8 Skills that can make you $10k/month in 2023:

• Storytelling 
• SEO/SEM 
• Copywriting
• Design/UX 
• Affiliate Marketing
• Email Marketing 
• Ghostwriting
• Social Media Management

Add yours

👇",en,,,1698323442,642.0,social media marketing,unknown,unknown
,,,1553437845611765764,ItsGiahLe,,1717548565776482703,2023-10-26T14:27:43,20,,,1717548565776482703,,,,,,,,post,0,,,8,1,,"I despised my engineering degree, so I taught myself high-converting copywriting.

I got tired of freelance platforms, so I taught myself social media marketing.

I got tired of not having clients, so I taught myself lead generation.

I got tired of being broke, so I taught…",en,,,1698330463,623.0,social media marketing,unknown,unknown
,,,1492525372499537934,iamjordan,,1717575907035038177,2023-10-26T16:16:21,16,,,1717575907035038177,,,,,,,,post,0,,,3,2,,"Skills that will make you $10k/month in 2023:

• SEO/SEO
• Desig/UX
• Tik Tok Ads
• Storytelling 
• Copywriting 
• Ghostwriting
• Email Marketing 
• Social Media Management",en,,,1698336981,377.0,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9YqcXkXsAA7bR_.jpg,,1510181264615407620,CryptoPayApp,,1717606983333728270,2023-10-26T18:19:51,68,,,1717606983333728270,,,,,,,,post,1,,,13,45,,"⭐️ App Feature!

Gift cards will be included within the app. Get ready for a whole new level of convenience in your digital shopping experience.

Stay tuned for our upcoming social media marketing campaign once our full branding is revealed. https://t.co/llMWbnZ78K",en,,,1698344391,629.0,social media marketing,unknown,unknown
,https://pbs.twimg.com/media/F9bVs8qa8AAL-JL.jpg,,1523979195637846016,saranshwrites,,1717795278718484933,2023-10-27T06:48:04,571,,,1717795278718484933,,,,,,,,post,0,,,347,244,,"Prompt Engineers are Earning $400,000/year

So I created ""1000+ ChatGPT Prompts to level up your Life""

Prompts that help with:
• social media
• leads generating
• marketing, etc

Free for 24 hours 

To get it:
1. Follow me ( so i can DM you )
2. Like this post
3. Comment ""X"" https://t.co/24AGlGoA27",en,,,1698389284,39423.0,social media marketing,unknown,unknown
